Session,Channel,Threshold,Model,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples
2025-09-22_17-42-27,24,0.9,SVM_2,16,0,93,1.0,0.14678899082568808,0.256,35.49999999999386,22,109
2025-09-22_17-42-27,24,0.9,SVM_3,17,0,92,1.0,0.1559633027522936,0.2698412698412699,38.73333333333764,26,109
2025-09-22_17-42-27,24,0.9,SVM_4,16,0,93,1.0,0.14678899082568808,0.256,35.2999999999945,25,109
2025-09-22_17-42-27,24,0.9,SVM_5,16,0,93,1.0,0.14678899082568808,0.256,33.90000000000168,25,109
2025-09-22_17-42-27,24,0.9,XGBOOST_1,25,1,84,0.9615384615384616,0.22935779816513763,0.37037037037037035,29.071999999990148,25,109
2025-09-22_17-42-27,24,0.9,XGBOOST_2,42,3,67,0.9333333333333333,0.3853211009174312,0.5454545454545454,25.247619047618432,45,109
2025-09-22_17-42-27,24,0.9,XGBOOST_3,35,2,74,0.9459459459459459,0.3211009174311927,0.4794520547945206,26.723809523806423,38,109
2025-09-22_17-42-27,24,0.9,XGBOOST_4,41,2,68,0.9534883720930233,0.3761467889908257,0.5394736842105263,23.882926829268797,44,109
2025-09-22_17-42-27,24,0.9,XGBOOST_5,37,2,72,0.9487179487179487,0.3394495412844037,0.5,26.25225225225227,40,109
2025-09-22_17-55-26,26,0.9,CNN1D_1,43,0,142,1.0,0.23243243243243245,0.37719298245614036,25.51162790697505,46,185
2025-09-22_17-55-26,26,0.9,CNN1D_2,1,0,184,1.0,0.005405405405405406,0.010752688172043012,30.03333333338378,1,185
2025-09-22_17-55-26,26,0.9,CNN1D_3,4,0,181,1.0,0.021621621621621623,0.04232804232804233,17.433333333348855,4,185
2025-09-22_17-55-26,26,0.9,CNN1D_4,19,0,166,1.0,0.10270270270270271,0.18627450980392157,28.15614035088622,18,185
2025-09-22_17-55-26,26,0.9,CNN1D_5,36,1,149,0.972972972972973,0.1945945945945946,0.32432432432432434,14.555555555562124,37,185
2025-09-22_17-55-26,26,0.9,CNN2D_1,38,0,147,1.0,0.20540540540540542,0.34080717488789236,13.349122807017059,38,185
2025-09-22_17-55-26,26,0.9,CNN2D_2,0,0,185,0.0,0.0,0.0,,0,185
2025-09-22_17-55-26,26,0.9,CNN2D_3,0,0,185,0.0,0.0,0.0,,0,185
2025-09-22_17-55-26,26,0.9,CNN2D_4,1,0,184,1.0,0.005405405405405406,0.010752688172043012,15.066666666651145,1,185
2025-09-22_17-55-26,26,0.9,CNN2D_5,1,0,184,1.0,0.005405405405405406,0.010752688172043012,23.63333333330229,1,185
2025-09-22_17-55-26,26,0.9,LSTM_1,0,0,185,0.0,0.0,0.0,,0,185
2025-09-22_17-55-26,26,0.9,LSTM_2,0,0,185,0.0,0.0,0.0,,0,185
2025-09-22_17-55-26,26,0.9,LSTM_3,0,0,185,0.0,0.0,0.0,,0,185
2025-09-22_17-55-26,26,0.9,LSTM_4,13,0,172,1.0,0.07027027027027027,0.13131313131313133,33.35641025641151,17,185
2025-09-22_17-55-26,26,0.9,LSTM_5,38,0,147,1.0,0.20540540540540542,0.34080717488789236,22.38596491228643,45,185
2025-09-22_17-55-26,26,0.9,SVM_1,8,0,177,1.0,0.043243243243243246,0.08290155440414508,38.475000000000364,9,185
2025-09-22_17-55-26,26,0.9,SVM_2,12,0,173,1.0,0.06486486486486487,0.1218274111675127,36.063888888909936,21,185
2025-09-22_17-55-26,26,0.9,SVM_3,17,0,168,1.0,0.0918918918918919,0.16831683168316833,40.01176470588539,19,185
2025-09-22_17-55-26,26,0.9,SVM_4,13,0,172,1.0,0.07027027027027027,0.13131313131313133,36.28205128207516,22,185
2025-09-22_17-55-26,26,0.9,SVM_5,14,0,171,1.0,0.07567567567567568,0.1407035175879397,36.16904761906608,22,185
